Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
318,Kieffer Moore,wls WAL,FW,Bournemouth,30-164,1992,11.4,14,1.22,11,0,1,0,2,0,1,0.09,1,0,0,0,0,0,Matches,01ce9e70
319,Andrew Moran,ie IRL,FW,Brighton,19-096,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c4720845
320,Álex Moreno,es ESP,DF,Aston Villa,29-225,1993,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,16e9d0ea
321,Mason Mount,eng ENG,MFFW,Chelsea,24-009,1999,15.1,48,3.17,35,9,2,1,1,0,7,0.46,5,0,0,1,1,0,Matches,9674002f
322,Lucas Moura,br BRA,MFDF,Tottenham,30-159,1992,1.1,5,4.59,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,2b622f01
323,João Moutinho,pt POR,MF,Wolves,36-133,1986,14.2,46,3.24,34,11,0,1,0,0,2,0.14,2,0,0,0,0,0,Matches,f5a00fa4
324,Divin Mubama,eng ENG,FW,West Ham,18-086,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,92868cb5
325,Jacob Murphy,eng ENG,FW,Newcastle Utd,27-329,1995,5.9,15,2.53,14,0,0,0,1,0,2,0.34,2,0,0,0,0,0,Matches,de112b84
326,Enock Mwepu,zm ZAM,FWMF,Brighton,25-018,1998,2.4,6,2.54,6,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches,1d5cab82
327,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-235,1999,18.3,30,1.64,26,1,0,2,1,0,2,0.11,1,0,0,1,0,0,Matches,30d4a2e5
328,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-034,1996,9.7,7,0.72,7,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,6b47c5db
329,Reiss Nelson,eng ENG,FW,Arsenal,23-040,1999,0.7,4,5.54,2,0,0,1,1,0,2,2.77,1,0,0,1,0,0,Matches,c5bdb6e3
330,Neto,br BRA,GK,Bournemouth,33-184,1989,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a9dc785c
331,Pedro Neto,pt POR,FWMF,Wolves,22-316,2000,6.7,27,4.06,15,4,2,2,3,1,3,0.45,3,0,0,0,0,0,Matches,7ba2eaa9
332,Rúben Neves,pt POR,MF,Wolves,25-312,1997,18.0,39,2.17,30,1,2,1,2,3,2,0.11,2,0,0,0,0,0,Matches,44bfb6c5
333,Moussa Niakhate,fr FRA,DF,Nott'ham Forest,26-317,1996,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,00242715
334,Rasmus Nissen,dk DEN,DF,Leeds United,25-192,1997,12.6,20,1.59,17,1,1,1,0,0,2,0.16,2,0,0,0,0,0,Matches,39769cff
335,Eddie Nketiah,eng ENG,FW,Arsenal,23-234,1999,5.7,14,2.47,8,0,3,1,2,0,1,0.18,1,0,0,0,0,0,Matches,a53649b7
336,Matheus Nunes,pt POR,MF,Wolves,24-145,1998,12.9,31,2.41,27,1,0,2,1,0,2,0.16,2,0,0,0,0,0,Matches,e6af02e0
337,Darwin Núñez,uy URU,FW,Liverpool,23-209,1999,9.7,32,3.31,21,1,2,4,4,0,1,0.10,1,0,0,0,0,0,Matches,4d77b365
338,Ethan Nwaneri,eng ENG,FW,Arsenal,15-304,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7f94982c
339,Christian Nørgaard,dk DEN,MF,Brentford,28-315,1994,7.7,12,1.57,8,0,1,3,0,0,4,0.52,2,0,0,2,0,0,Matches,df0a4c90
